Birth City,Number of Players,Mean Player Salary,Median Player Salary,Player Salary Variance,Player Salary Std. Dev.,Player Salary Std. Error
Woodsville,1,"$420,000","$420,000",$nan,$nan,$nan
Woonsocket,1,"$927,000","$500,000","$698,043,000,000","$835,490","$315,785"
North Olmsted,1,"$420,800","$420,800",$nan,$nan,$nan
North Miami,1,"$338,900","$316,000","$4,000,550,000","$63,250","$28,286"
North Little Rock,1,"$9,004,469","$10,850,000","$49,372,956,848,958","$7,026,589","$1,756,647"
North Hollywood,1,"$1,561,666","$1,561,666","$286,272,474,444","$535,044","$378,333"
Wright Patterson AFB,1,"$3,405,357","$3,925,000","$3,672,440,476,190","$1,916,361","$724,316"
North Conway,1,"$513,833","$513,000","$281,083,333","$16,766","$9,680"
North Adams,1,"$384,000","$384,000",$nan,$nan,$nan
Norristown,1,"$11,709,822","$12,821,429","$25,366,050,325,437","$5,036,472","$1,780,662"
Wyandotte,1,"$509,000","$509,000","$144,500,000","$12,021","$8,500"
Wymore,1,"$525,500","$525,500","$200,000,000","$14,142","$10,000"
Noord,1,"$2,862,500","$2,375,000","$6,764,821,428,571","$2,600,927","$919,567"
Nogales,1,"$2,700,000","$2,700,000","$720,000,000,000","$848,528","$600,000"
San Juan de los Morros,1,"$940,375","$637,000","$410,709,767,857","$640,866","$226,580"
San Rafael del Yuma,1,"$395,000","$395,000",$nan,$nan,$nan
Yoakum,1,"$389,375","$402,500","$4,193,229,167","$64,755","$32,378"
Yokohama,1,"$1,388,000","$1,275,000","$294,907,500,000","$543,054","$242,861"
San Luis Potosi,1,"$3,166,667","$3,375,000","$1,161,458,333,333","$1,077,710","$622,216"
Yucaipa,1,"$372,000","$360,500","$4,164,666,667","$64,534","$32,267"
Nichi Kasugai-gun,1,"$10,808,766","$12,500,000","$35,935,116,205,526","$5,994,591","$1,547,797"
Neyagawa,1,"$5,035,714","$5,000,000","$3,592,261,904,762","$1,895,326","$716,366"
Newton,1,"$2,088,111","$1,034,000","$3,361,156,548,611","$1,833,346","$611,115"
Wolf Point,1,"$417,000","$417,000",$nan,$nan,$nan
Winfield,1,"$496,750","$496,750","$325,125,000","$18,031","$12,750"
Windermere,1,"$1,166,667","$515,000","$1,333,558,333,333","$1,154,798","$666,723"
Olney,1,"$939,167","$1,000,000","$176,039,583,333","$419,571","$242,239"
Orange Park,1,"$4,557,000","$5,083,000","$14,230,415,142,857","$3,772,322","$1,333,717"
Orange County,1,"$5,817,292","$6,000,000","$18,225,656,202,652","$4,269,152","$1,232,398"
Waukegan,1,"$631,562","$725,000","$57,880,245,536","$240,583","$85,059"
Waverly,1,"$260,000","$260,000",$0,$0,$0
Weatherford,1,"$2,410,500","$1,800,000","$3,919,158,055,556","$1,979,686","$626,032"
Santa Lucia,1,"$417,000","$417,000",$nan,$nan,$nan
Turners Falls,1,"$2,850,000","$2,850,000","$3,645,000,000,000","$1,909,188","$1,350,000"
Wellington,1,"$285,333","$303,000","$3,656,333,333","$60,468","$34,911"
Santa Fe,1,"$520,000","$520,000",$nan,$nan,$nan
Oneonta,1,"$218,325","$218,325","$272,611,250","$16,511","$11,675"
Westerville,1,"$515,500","$515,500","$500,000",$707,$500
Westlake Village,1,"$3,422,250","$4,000,000","$6,850,409,840,909","$2,617,329","$755,558"
Westwood,1,"$513,000","$513,000",$nan,$nan,$nan
Wheaton,1,"$510,000","$510,000",$nan,$nan,$nan
Winchester,1,"$548,333","$685,000","$62,408,333,333","$249,817","$144,232"
San Isidro,1,"$1,044,333","$530,000","$836,006,333,333","$914,334","$527,891"
San Joaquin,1,"$203,000","$203,000",$nan,$nan,$nan
Okinawa,1,"$311,250","$311,250","$253,125,000","$15,910","$11,250"
Sanremo,1,"$481,300","$481,300",$nan,$nan,$nan
Odessa,1,"$406,250","$406,250","$78,125,000","$8,839","$6,250"
Wilkes-Barre,1,"$523,333","$377,500","$95,052,083,333","$308,305","$178,000"
Oconomowoc,1,"$200,000","$200,000",$nan,$nan,$nan
Oaxaca,1,"$4,257,143","$3,200,000","$3,735,357,142,857","$1,932,707","$730,495"
Oaklawn,1,"$832,500","$832,500","$644,112,500,000","$802,566","$567,500"
Williamsport,1,"$12,880,832","$11,071,029","$17,616,223,094,929","$4,197,168","$1,399,056"
Wilrijk,1,"$245,000","$245,000",$nan,$nan,$nan
Sandusky,1,"$448,750","$448,750","$2,278,125,000","$47,730","$33,750"
Wilson,1,"$365,833","$380,000","$1,127,083,333","$33,572","$19,383"
Tuxedo,1,"$3,000,000","$3,000,000",$nan,$nan,$nan
Perkins,1,"$500,625","$500,625",$nan,$nan,$nan
Sasebo,1,"$6,354,166","$6,158,333","$916,180,263,889","$957,173","$478,587"
St. John,1,"$1,404,167","$1,100,000","$765,549,242,424","$874,957","$252,578"
Quincy,1,"$350,500","$345,000","$1,373,250,000","$37,057","$21,395"
Raceland,1,"$511,367","$512,400","$278,023,333","$16,674","$9,627"
Stamford,1,"$686,833","$504,500","$113,143,083,333","$336,367","$194,202"
St. Marys,1,"$919,500","$850,000","$589,605,416,667","$767,858","$290,223"
St. Louis Park,1,"$500,000","$500,000",$nan,$nan,$nan
Racine,1,"$413,000","$416,500","$135,750,000","$11,651","$6,727"
St. Clairsville,1,"$384,800","$384,800",$nan,$nan,$nan
Satellite Beach,1,"$3,273,133","$2,000,000","$9,185,634,747,500","$3,030,781","$1,010,260"
Radford,1,"$1,925,000","$1,600,000","$1,289,166,666,667","$1,135,415","$567,707"
St. Clair,1,"$268,667","$253,000","$5,586,333,333","$74,742","$43,152"
Ramon Santana,1,"$5,825,512","$5,812,500","$4,230,147,749,461","$2,056,732","$727,165"
Selmer,1,"$292,000","$307,000","$6,649,000,000","$81,541","$47,078"
St. Amant,1,"$454,675","$458,000","$2,236,929,167","$47,296","$23,648"
Rawlins,1,"$6,250,000","$6,250,000",$0,$0,$0
Quibor,1,"$390,000","$390,000",$nan,$nan,$nan
Queensbury,1,"$683,325","$448,600","$262,312,469,167","$512,164","$256,082"
Starkville,1,"$528,667","$496,000","$3,825,333,333","$61,849","$35,709"
Pusan,1,"$411,200","$411,200","$699,380,000","$26,446","$18,700"
State College,1,"$5,866,875","$5,666,666","$13,465,515,467,917","$3,669,539","$1,297,378"
Punxsutawney,1,"$1,002,500","$502,500","$1,030,675,000,000","$1,015,222","$507,611"
Steamboat Springs,1,"$355,833","$346,500","$2,045,583,333","$45,228","$26,112"
Pullman,1,"$397,500","$397,500","$612,500,000","$24,749","$17,500"
Round Rock,1,"$507,350","$507,350","$59,405,000","$7,707","$5,450"
Puerto Piritu,1,"$1,540,625","$2,100,000","$1,222,074,553,571","$1,105,475","$390,844"
Puerto Palenque,1,"$391,500","$370,500","$6,233,666,667","$78,954","$39,477"
Stillwater,1,"$11,589,234","$16,272,110","$45,610,012,999,930","$6,753,519","$2,036,262"
Stoughton,1,"$403,000","$281,000","$91,672,666,667","$302,775","$151,387"
Puerto Ordaz,1,"$635,350","$499,450","$81,193,123,333","$284,944","$142,472"
Stuart,1,"$668,400","$602,962","$116,979,623,718","$342,023","$171,011"
Royal Oak,1,"$1,585,000","$800,000","$2,763,737,500,000","$1,662,449","$554,150"
Sulphur,1,"$508,500","$508,500",$nan,$nan,$nan
Spring Valley,1,"$838,800","$825,000","$388,864,400,000","$623,590","$197,196"
Roswell,1,"$1,154,500","$730,000","$1,073,344,333,333","$1,036,023","$518,012"
Spokane,1,"$3,300,000","$3,300,000",$nan,$nan,$nan
Solito,1,"$271,750","$271,750","$9,316,125,000","$96,520","$68,250"
Simcoe,1,"$2,613,500","$2,600,000","$4,582,380,000,000","$2,140,649","$957,328"
Riverton,1,"$325,000","$325,000",$nan,$nan,$nan
Singapore,1,"$300,000","$300,000","$200,000,000","$14,142","$10,000"
Rivas,1,"$517,300","$517,300","$60,500,000","$7,778","$5,500"
Shiner,1,"$292,000","$316,000","$5,332,000,000","$73,021","$42,158"
Rockingham,1,"$1,533,333","$1,658,334","$982,160,580,247","$991,040","$313,394"
Ripley,1,"$235,000","$235,000",$nan,$nan,$nan
Rio San Juan,1,"$493,000","$493,000",$nan,$nan,$nan
Rockville,1,"$894,700","$500,000","$810,455,450,000","$900,253","$402,605"
Ridgewood,1,"$2,901,917","$2,107,500","$8,922,303,041,667","$2,987,022","$1,219,447"
Richmond Hill,1,"$448,000","$400,000","$20,520,000,000","$143,248","$64,062"
So-gun,1,"$9,700,000","$12,500,000","$35,325,000,000,000","$5,943,484","$2,658,007"
Richland,1,"$467,500","$410,000","$11,257,500,000","$106,101","$43,316"
Richardson,1,"$211,400","$211,400",$nan,$nan,$nan
Somerset,1,"$400,000","$400,000",$nan,$nan,$nan
Rosenberg,1,"$510,000","$510,000",$nan,$nan,$nan
Rhinelander,1,"$206,000","$206,000",$nan,$nan,$nan
Reynosa,1,"$3,926,714","$3,375,000","$14,018,103,904,762","$3,744,076","$1,415,128"
Rockville Centre,1,"$2,825,000","$2,433,333","$6,342,500,829,167","$2,518,432","$1,126,277"
Souderton,1,"$584,140","$492,400","$56,872,878,000","$238,480","$106,652"
Rome,1,"$500,000","$500,000",$nan,$nan,$nan
South Bend,1,"$2,040,000","$1,925,000","$553,407,487,407","$743,914","$235,246"
Seneca,1,"$223,750","$223,750","$253,125,000","$15,910","$11,250"
South Holland,1,"$4,179,062","$4,475,000","$7,673,935,602,679","$2,770,187","$979,409"
South Miami,1,"$2,570,188","$2,064,125","$6,330,199,723,958","$2,515,989","$1,257,994"
South Orange,1,"$400,000","$400,000",$nan,$nan,$nan
South Portland,1,"$851,500","$750,000","$165,931,750,000","$407,347","$235,182"
Remedios,1,"$2,587,500","$2,650,000","$70,625,000,000","$265,754","$132,877"
South Weymouth,1,"$945,800","$490,000","$1,059,078,200,000","$1,029,115","$460,234"
Redondo Beach,1,"$1,604,286","$450,000","$3,147,628,571,429","$1,774,156","$670,568"
Sun Valley,1,"$335,000","$335,000",$nan,$nan,$nan
Sunbury,1,"$1,631,875","$1,725,000","$752,413,839,286","$867,418","$306,679"
Russellville,1,"$400,000","$400,000",$nan,$nan,$nan
Toms River,1,"$8,674,267","$8,625,000","$1,645,893,226,667","$1,282,924","$523,751"
Placentia,1,"$500,000","$500,000",$nan,$nan,$nan
Sebastian,1,"$414,000","$414,000",$nan,$nan,$nan
Pittsburg,1,"$1,097,000","$750,000","$861,643,428,571","$928,248","$328,185"
Pingtung County,1,"$407,500","$407,500",$nan,$nan,$nan
Pinellas Park,1,"$605,980","$414,700","$75,956,822,000","$275,603","$123,253"
Seaford,1,"$3,264,330","$4,209,324","$3,047,010,314,252","$1,745,569","$1,007,805"
Three Rivers,1,"$2,413,909","$2,250,000","$3,789,820,090,909","$1,946,746","$586,966"
Tinley Park,1,"$475,000","$475,000",$nan,$nan,$nan
Titusville,1,"$446,000","$446,000","$882,000,000","$29,698","$21,000"
Tlalnepantla,1,"$1,712,857","$650,000","$3,095,490,476,190","$1,759,401","$664,991"
Toa Baja,1,"$432,533","$391,800","$16,152,813,333","$127,094","$73,378"
Tokushima,1,"$7,833,666","$7,833,666","$500,000,000,000","$707,107","$500,000"
Pimentel,1,"$315,000","$315,000","$450,000,000","$21,213","$15,000"
Salisbury,1,"$1,739,583","$1,102,000","$2,543,007,441,667","$1,594,681","$651,026"
Philipsburg,1,"$513,333","$516,000","$489,333,333","$22,121","$12,771"
Plano,1,"$359,250","$359,250","$2,080,125,000","$45,608","$32,250"
Scribner,1,"$1,500,000","$1,500,000","$125,000,000,000","$353,553","$250,000"
Topeka,1,"$1,438,750","$1,437,500","$18,006,250,000","$134,187","$67,094"
Petoskey,1,"$662,000","$662,000","$82,418,000,000","$287,085","$203,000"
Scarborough,1,"$589,700","$440,000","$67,935,450,000","$260,644","$116,564"
Petaluma,1,"$2,176,511","$1,275,000","$3,748,276,741,111","$1,936,047","$645,349"
Tovar,1,"$10,803,523","$10,875,000","$84,095,936,035,206","$9,170,384","$2,647,262"
Towanda,1,"$332,500","$332,500","$1,512,500,000","$38,891","$27,500"
Peru,1,"$2,757,000","$2,350,000","$6,424,126,333,333","$2,534,586","$957,983"
Trail,1,"$6,483,500","$4,750,000","$46,930,355,833,333","$6,850,573","$2,166,342"
Robstown,1,"$380,000","$380,000",$nan,$nan,$nan
Tsushima,1,"$816,667","$600,000","$215,833,333,333","$464,579","$268,225"
Pequannock,1,"$17,212,540","$16,729,365","$16,026,139,370,984","$4,003,266","$1,033,639"
Tulare,1,"$725,000","$725,000","$1,250,000,000","$35,355","$25,000"
Saugus,1,"$1,065,000","$502,500","$1,299,750,000,000","$1,140,066","$570,033"
Plainfield,1,"$5,276,667","$6,500,000","$9,414,389,237,778","$3,068,288","$1,372,180"
The Dalles,1,"$2,166,362","$2,378,248","$901,228,173,556","$949,330","$300,205"
Sunnyside,1,"$8,000,000","$8,000,000",$0,$0,$0
Port Jefferson,1,"$573,500","$500,000","$37,698,750,000","$194,162","$86,832"
Pueblo Viejo,1,"$2,943,750","$2,700,000","$2,036,741,071,429","$1,427,144","$504,572"
Sunnyvale,1,"$512,000","$512,000",$nan,$nan,$nan
Rutherford,1,"$419,800","$419,800",$nan,$nan,$nan
Pratt,1,"$2,358,571","$1,795,000","$3,558,189,285,714","$1,886,316","$712,961"
Surrey,1,"$891,500","$891,500","$11,400,500,000","$106,773","$75,500"
Poway,1,"$517,750","$517,750","$114,005,000","$10,677","$7,550"
Syosset,1,"$380,000","$380,000",$nan,$nan,$nan
Potosi,1,"$716,667","$700,000","$180,833,333,333","$425,245","$245,515"
Sabana Grande de Boya,1,"$302,550","$302,550",$nan,$nan,$nan
Tabara Arriba,1,"$1,199,867","$509,675","$1,459,852,153,958","$1,208,243","$697,580"
Selma,1,"$6,860,988","$7,725,000","$25,457,679,178,393","$5,045,560","$1,783,875"
Sabana de la Mar,1,"$402,500","$402,500",$nan,$nan,$nan
Porterville,1,"$315,000","$315,000",$nan,$nan,$nan
Portales,1,"$3,619,167","$3,000,000","$10,276,446,875,000","$3,205,690","$1,068,563"
Port Huron,1,"$2,532,667","$1,192,500","$8,466,848,666,667","$2,909,785","$1,187,915"
Plymouth,1,"$1,628,800","$1,628,800","$2,514,178,880,000","$1,585,616","$1,121,200"
Taloga,1,"$526,750","$526,750","$253,125,000","$15,910","$11,250"
Tanashi,1,"$2,950,000","$2,825,000","$541,666,666,667","$735,980","$367,990"
Port Hueneme,1,"$1,228,600","$358,000","$1,614,124,800,000","$1,270,482","$568,177"
Sellersville,1,"$6,175,000","$6,500,000","$3,103,863,636,364","$1,761,779","$508,582"
Port Charlotte,1,"$417,050","$417,050","$411,845,000","$20,294","$14,350"
Sechelt,1,"$6,353,071","$4,833,333","$28,770,093,715,491","$5,363,776","$1,433,529"
Teaneck,1,"$250,000","$250,000","$5,000,000,000","$70,711","$50,000"
Telford,1,"$512,900","$510,200","$338,530,000","$18,399","$10,623"
Temple,1,"$414,000","$414,000",$nan,$nan,$nan
Ponca City,1,"$401,000","$401,000",$nan,$nan,$nan
Saigon,1,"$3,410,714","$3,525,000","$5,997,886,904,762","$2,449,058","$925,657"
Terre Haute,1,"$510,000","$510,000",$nan,$nan,$nan
Texas City,1,"$485,000","$485,000",$nan,$nan,$nan
Point Pleasant,1,"$1,875,833","$600,000","$5,166,002,083,333","$2,272,884","$1,312,250"
Templeton,1,"$398,333","$400,000","$308,333,333","$17,559","$10,138"
Aberdeen,1,"$1,214,250","$943,750","$1,448,026,928,571","$1,203,340","$425,445"
Newnan,1,"$507,250","$507,250","$55,125,000","$7,425","$5,250"
Collierville,1,"$517,500","$517,500",$nan,$nan,$nan
Commack,1,"$2,416,667","$3,250,000","$3,583,333,333,333","$1,892,969","$1,092,906"
Compton,1,"$3,116,667","$4,000,000","$4,290,833,333,333","$2,071,433","$1,195,942"
Consolacion del Sur,1,"$420,000","$420,000",$nan,$nan,$nan
Constanza,1,"$517,666","$517,666","$243,321,800","$15,599","$11,030"
Coon Rapids,1,"$532,500","$400,000","$98,291,666,667","$313,515","$156,758"
Coral Springs,1,"$503,400","$503,400",$nan,$nan,$nan
Coronado,1,"$746,000","$575,000","$185,767,500,000","$431,008","$192,752"
Coudersport,1,"$392,333","$390,000","$136,333,333","$11,676","$6,741"
Council Bluffs,1,"$4,722,222","$5,083,333","$5,469,027,159,722","$2,338,595","$779,532"
Crest Hill,1,"$1,116,667","$1,100,000","$140,833,333,333","$375,278","$216,667"
Crestwood,1,"$1,790,333","$1,012,500","$3,045,690,666,667","$1,745,191","$712,471"
Crosby,1,"$406,833","$406,500","$289,083,333","$17,002","$9,816"
Cuitlahuac,1,"$1,507,143","$1,500,000","$100,357,142,857","$316,792","$119,736"
Culiacan,1,"$3,771,091","$1,900,000","$19,473,695,890,909","$4,412,901","$1,330,540"
Cumberland,1,"$444,500","$431,600","$968,710,000","$31,124","$17,970"
Cupira,1,"$562,625","$397,750","$116,775,229,167","$341,724","$170,862"
Dade City,1,"$300,000","$300,000",$nan,$nan,$nan
Daejeon,1,"$450,000","$450,000",$nan,$nan,$nan
Daito,1,"$1,000,000","$1,000,000",$nan,$nan,$nan
Dajabon,1,"$380,000","$380,000",$nan,$nan,$nan
Dalton,1,"$703,500","$468,500","$266,459,000,000","$516,197","$258,098"
Daly City,1,"$2,211,444","$1,900,000","$2,847,908,777,778","$1,687,575","$562,525"
Danbury,1,"$508,500","$508,500",$nan,$nan,$nan
Darlinghurst,1,"$871,667","$850,000","$445,908,333,333","$667,764","$385,534"
Darlington,1,"$3,131,488","$3,632,438","$4,934,180,341,402","$2,221,301","$702,437"
Collins,1,"$522,500","$522,500","$1,012,500,000","$31,820","$22,500"
Coffee,1,"$7,832,273","$10,200,000","$25,899,887,018,182","$5,089,193","$1,534,449"
Davie,1,"$512,500","$512,500","$312,500,000","$17,678","$12,500"
Coeur d'Alene,1,"$400,000","$400,000",$nan,$nan,$nan
Cherry Hill,1,"$1,097,417","$647,500","$1,094,672,041,667","$1,046,266","$427,136"
Chesapeake,1,"$509,500","$509,500",$nan,$nan,$nan
Chester,1,"$746,250","$675,000","$303,389,583,333","$550,808","$275,404"
Chesterfield,1,"$515,000","$515,000","$112,500,000","$10,607","$7,500"
Cheverly,1,"$1,733,333","$1,800,000","$253,333,333,333","$503,322","$290,593"
Chickasha,1,"$553,750","$528,750","$32,685,416,667","$180,791","$90,396"
Chico,1,"$6,343,137","$5,843,750","$21,089,237,097,402","$4,592,302","$1,227,344"
Chihuahua,1,"$203,333","$205,000","$8,333,333","$2,887","$1,667"
Chinandega,1,"$4,302,917","$2,900,000","$17,460,106,628,788","$4,178,529","$1,206,237"
Chitre,1,"$666,667","$725,000","$109,506,666,667","$330,918","$135,097"
Choon Chung Do,1,"$382,200","$382,200",$nan,$nan,$nan
Chorrera,1,"$733,333","$700,000","$63,333,333,333","$251,661","$145,297"
Christiana,1,"$515,800","$515,800",$nan,$nan,$nan
Christiansted,1,"$362,500","$362,500","$7,812,500,000","$88,388","$62,500"
Chun-Nam,1,"$422,875","$330,750","$41,003,062,500","$202,492","$101,246"
Cidra,1,"$635,000","$700,000","$33,650,000,000","$183,439","$91,720"
Ciudad Juarez,1,"$787,500","$850,000","$23,593,750,000","$153,603","$88,682"
Ciudad Ojeda,1,"$591,667","$625,000","$5,166,666,667","$71,880","$29,345"
Ciudad Victoria,1,"$2,589,583","$2,500,000","$2,864,651,041,667","$1,692,528","$690,972"
Clarks Summit,1,"$508,500","$508,500",$nan,$nan,$nan
Clay,1,"$509,000","$509,000","$450,000,000","$21,213","$15,000"
Clearfield,1,"$1,481,250","$1,150,000","$677,098,214,286","$822,860","$290,925"
Cleburne,1,"$2,488,594","$2,076,188","$5,662,785,993,490","$2,379,661","$1,189,830"
Clermont,1,"$515,000","$515,000",$nan,$nan,$nan
Clovis,1,"$722,500","$505,000","$204,141,666,667","$451,820","$225,910"
Davenport,1,"$232,500","$232,500",$nan,$nan,$nan
De Leon Springs,1,"$2,716,000","$2,575,000","$5,300,347,428,571","$2,302,248","$813,968"
Newhall,1,"$5,793,878","$4,250,000","$24,105,908,584,444","$4,909,777","$1,636,592"
Elkhorn,1,"$215,000","$215,000",$nan,$nan,$nan
Encinitas,1,"$205,000","$205,000",$nan,$nan,$nan
Encino,1,"$425,000","$425,000","$1,250,000,000","$35,355","$25,000"
Erie,1,"$491,000","$491,000",$nan,$nan,$nan
Estacion Lagunas,1,"$290,833","$330,000","$6,227,083,333","$78,912","$45,560"
Euclid,1,"$850,000","$925,000","$16,875,000,000","$129,904","$75,000"
Eureka,1,"$3,466,122","$4,687,300","$9,259,934,019,444","$3,043,014","$1,014,338"
Eureka Springs,1,"$6,437,273","$7,000,000","$22,830,976,818,182","$4,778,177","$1,440,675"
Eustis,1,"$1,353,200","$850,000","$1,247,147,200,000","$1,116,757","$499,429"
Evergreen,1,"$519,000","$519,000","$84,500,000","$9,192","$6,500"
Exeter,1,"$5,917,518","$4,225,000","$28,248,607,697,134","$5,314,942","$1,534,292"
Fajardo,1,"$443,750","$430,000","$58,722,916,667","$242,328","$121,164"
Fall River,1,"$507,800","$507,800",$nan,$nan,$nan
Falmouth,1,"$2,858,750","$2,152,500","$8,819,372,916,667","$2,969,743","$1,484,871"
Fargo,1,"$477,500","$437,500","$14,175,000,000","$119,059","$59,529"
Federal Way,1,"$625,375","$506,250","$91,825,562,500","$303,027","$151,514"
Festus,1,"$510,500","$510,500",$nan,$nan,$nan
Findlay,1,"$317,000","$317,000",$nan,$nan,$nan
Florissant,1,"$1,020,200","$425,000","$859,557,700,000","$927,123","$414,622"
Fomento,1,"$3,915,714","$2,975,000","$6,290,353,571,429","$2,508,058","$947,957"
Fort Belvoir,1,"$733,333","$625,000","$43,958,333,333","$209,662","$121,049"
Fort Benning,1,"$392,100","$392,100",$nan,$nan,$nan
Fort Campbell,1,"$4,872,000","$4,112,500","$17,970,029,142,857","$4,239,107","$1,498,751"
Fort Knox,1,"$498,500","$498,900","$309,880,000","$17,603","$10,163"
Fort Meade,1,"$3,923,611","$2,708,333","$16,649,511,620,370","$4,080,381","$1,665,809"
Fort Myers,1,"$300,000","$300,000",$nan,$nan,$nan
Ellsworth Air Force Base,1,"$4,115,625","$3,750,000","$7,899,453,125,000","$2,810,597","$993,696"
Elizabethtown,1,"$414,000","$414,000",$nan,$nan,$nan
DeLand,1,"$556,875","$556,875",$nan,$nan,$nan
El Tocuyo,1,"$490,500","$490,500",$nan,$nan,$nan
Defiance,1,"$4,112,438","$2,675,000","$17,670,953,959,821","$4,203,683","$1,486,227"
Deland,1,"$12,318,856","$12,333,333","$8,348,622,965,608","$2,889,398","$801,375"
Delano,1,"$245,000","$255,000","$1,675,000,000","$40,927","$23,629"
Des Plaines,1,"$11,860,071","$11,190,282","$10,082,170,446,813","$3,175,243","$1,122,618"
Deshler,1,"$502,300","$502,300",$nan,$nan,$nan
Devils Lake,1,"$2,620,000","$3,000,000","$2,678,250,000,000","$1,636,536","$731,881"
Don Gregorio,1,"$691,667","$825,000","$63,958,333,333","$252,900","$146,012"
Donora,1,"$9,039,177","$9,329,700","$14,547,640,112,192","$3,814,137","$1,150,006"
Dothan,1,"$9,391,133","$5,958,333","$79,203,592,806,015","$8,899,640","$2,814,313"
Douglasville,1,"$2,676,929","$2,425,000","$6,633,148,202,381","$2,575,490","$973,444"
Dover,1,"$1,764,600","$435,000","$3,734,505,800,000","$1,932,487","$864,234"
Dunkirk,1,"$1,182,025","$905,000","$894,443,402,500","$945,750","$472,875"
East Bontang,1,"$381,500","$381,500",$nan,$nan,$nan
East Los Angeles,1,"$2,911,660","$1,000,000","$10,687,597,278,000","$3,269,189","$1,462,026"
East Point,1,"$507,500","$507,500",$nan,$nan,$nan
East York,1,"$4,926,389","$5,050,000","$9,054,861,111,111","$3,009,130","$1,003,043"
Easton,1,"$1,500,000","$1,500,000","$500,000,000,000","$707,107","$500,000"
Eau Claire,1,"$8,214,286","$8,750,000","$5,113,095,238,095","$2,261,215","$854,659"
Edmonds,1,"$385,000","$385,000",$nan,$nan,$nan
Edmonton,1,"$220,000","$220,000",$nan,$nan,$nan
Edwardsville,1,"$230,000","$230,000","$800,000,000","$28,284","$20,000"
Effingham,1,"$860,000","$725,000","$408,900,000,000","$639,453","$241,690"
Eindhoven,1,"$395,750","$395,750","$36,125,000","$6,010","$4,250"
El Cercado,1,"$424,925","$424,925","$12,251,250","$3,500","$2,475"
El Mojan,1,"$400,000","$400,000",$nan,$nan,$nan
Chatsworth,1,"$1,762,000","$1,000,000","$2,205,720,000,000","$1,485,167","$664,187"
Chardon,1,"$395,000","$395,000",$nan,$nan,$nan
Chapel Hill,1,"$1,612,500","$505,000","$3,754,931,250,000","$1,937,764","$1,118,769"
Apple Valley,1,"$3,633,357","$2,450,000","$13,674,722,059,524","$3,697,935","$1,397,688"
Arita-gun,1,"$1,650,000","$1,650,000","$3,645,000,000,000","$1,909,188","$1,350,000"
Arjona,1,"$1,583,333","$850,000","$2,505,833,333,333","$1,582,982","$913,935"
Arroyo,1,"$2,211,667","$2,500,000","$1,883,862,500,000","$1,372,539","$457,513"
Artesia,1,"$1,185,400","$490,000","$1,081,190,175,000","$1,039,803","$465,014"
Ashland,1,"$3,943,750","$3,750,000","$8,064,019,642,857","$2,839,722","$1,003,993"
Astoria,1,"$838,609","$725,000","$270,565,455,655","$520,159","$232,622"
Attadale,1,"$992,500","$780,000","$572,825,000,000","$756,852","$378,426"
Auburn,1,"$400,000","$400,000",$nan,$nan,$nan
Auburndale,1,"$6,413,000","$5,350,000","$39,237,970,000,000","$6,264,022","$2,801,356"
Aurora,1,"$500,000","$500,000",$nan,$nan,$nan
Austell,1,"$1,325,750","$1,000,000","$979,176,625,000","$989,534","$329,845"
Avon Lake,1,"$353,333","$330,000","$2,908,333,333","$53,929","$31,136"
